Coordonnees;sitear;neighbourhood;organisat;photo;governorate;district;householdnum;household;men;women;boys;girls;individual;water_access;electric;openelement;damage;hazards;mines;geo;class;accom;siteclass;scoreclass;longitude;latitude;SSID
"44,3161805147;32,1680649317";???? ????? ??????;????? ??? ?????;reach_initiative;1426147676192.jpg;Najaf;Najaf;c. 4-5;9;11;11;10;10;42;4. None;4. None;3. Minor;1. Major;1. Major;4. none;32,1680649317,44,3161805147;a. 0-49;finished;informal settlement;3.Moderate;44,31618051;32,16806493;
"44,3258634679;32,1411407614";???? ???????;??? ?????;reach_initiative;1425887672207.jpg;Najaf;Najaf;c. 4-5;10;13;16;8;12;49;4. None;4. None;3. Minor;1. Major;4. none;4. none;32,1411407614,44,3258634679;a. 0-49;skeleton;informal settlement;4.Low;44,32586347;32,14114076;
"44,2679675553;32,3214259332";???? ????? ??????;???????? ;reach_initiative;1426314744285.jpg;Kerbala;Al-Hindiya;c. 4-5;9;12;15;9;7;43;4. None;4. None;3. Minor;1. Major;3. Minor;4. none;32,3214259332,44,2679675553;a. 0-49;unfinished;informal settlement;3.Moderate;44,26796756;32,32142593;
"44,3265211215;32,1377588515";?????? ???? ??????;??? ?????;reach_initiative;1425880712638.jpg;Najaf;Najaf;e. 8-9;6;9;10;8;19;46;4. None;4. None;3. Minor;1. Major;4. none;4. none;32,1377588515,44,3265211215;a. 0-49;unfinished;informal settlement;4.Low;44,32652112;32,13775885;
"45,0178791024;34,0112912469";???? ???????;?????????;iom;1428402127895.jpg;Diyala;Khanaqin;a. <2;65;22;15;16;12;65;4. None;4. None;3. Minor;1. Major;3. Minor;4. none;34,0112912469,45,0178791024;b. 50-99;unfinished;informal settlement;3.Moderate;45,0178791;34,01129125;
"44,2840310675;32,2653755317";???? ??? ???????;????????;reach_initiative;1426066981738.jpg;Najaf;Najaf;c. 4-5;10;14;15;13;10;52;1. Major;4. None;3. Minor;1. Major;3. Minor;4. none;32,2653755317,44,2840310675;b. 50-99;unfinished;informal settlement;3.Moderate;44,28403107;32,26537553;
"42,9451035479748;37,0576400437984";;???????;;1438248443891.jpg;Dahuk;Dahuk;d. 6-7;5;8;9;10;6;33;4. None;4. None;2. Moderate;1. Major;4. none;4. none;37,0576400437984,42,9451035479748;a. 0-49;improved;informal settlement;3.Moderate;42,94510355;37,05764004;IQ0802-0167
"44,02503;36,186798";;??????;;1439981683225.jpg;Erbil;Erbil;b. 2-3;50;35;45;30;35;145;4. None;4. None;2. Moderate;1. Major;3. Minor;4. none;36,186798,44,02503;c. 100-249;unfinished;informal settlement;2.High;44,02503;36,186798;IQ1102-0040
"45,3494471246434;34,3028552676702";?????? /???? ???? /????? ?????;?????? /???? ???? / ????? ?????;;1440667611381.jpg;Diyala;Khanaqin;c. 4-5;5;1;0;7;11;19;4. None;4. None;2. Moderate;1. Major;4. none;4. none;34,3028552676702,45,3494471246434;a. 0-49;improved;informal settlement;2.High;45,34944712;34,30285527;IQ1004-0152
"43,0028357194724;36,8093029782928";;????? ????;;1439300139471.jpg;Dahuk;Sumel;d. 6-7;6;7;12;8;9;36;4. None;4. None;2. Moderate;1. Major;1. Major;4. none;36,8093029782928,43,0028357194724;a. 0-49;improved tent;informal settlement;2.High;43,00283572;36,80930298;IQ0803-0540
"45,3493479999999;34,3033179999999";;??????/???? ????;;1440672964418.jpg;Diyala;Khanaqin;b. 2-3;6;1;1;9;2;13;4. None;3. Minor;2. Moderate;1. Major;4. none;4. none;34,3033179999999,45,3493479999999;a. 0-49;open skeleton unfinished finished;informal settlement;2.High;45,349348;34,303318;IQ1004-0018
"43,335199;37,035321";;????? ( ????);;1439986485185.jpg;Dahuk;Amedi;c. 4-5;15;19;20;16;14;69;4. None;3. Minor;2. Moderate;1. Major;4. none;4. none;37,035321,43,335199;b. 50-99;unfinished;informal settlement;3.Moderate;43,335199;37,035321;IQ0801-0021
