Coordonnees;sitear;neighbourhood;organisat;photo;governorate;district;householdnum;household;men;women;boys;girls;individual;water_access;electric;openelement;damage;hazards;mines;geo;class;accom;siteclass;scoreclass;longitude;latitude;SSID
"43,3389719999999;37,0311689999999";;????? ( ??? ?????);;1439979630885.jpg;Dahuk;Amedi;c. 4-5;10;12;15;12;12;51;4. None;4. None;3. Minor;4. None;4. none;4. none;37,0311689999999,43,3389719999999;b. 50-99;unfinished;informal settlement;4.Low;43,338972;37,031169;IQ0801-0014
"42,943973;37,1858039999999";;???? ??? ???;;1439806064037.jpg;Dahuk;Zakho;d. 6-7;8;11;14;14;12;51;4. None;4. None;3. Minor;4. None;4. none;4. none;37,1858039999999,42,943973;b. 50-99;unfinished;informal settlement;5.None;42,943973;37,185804;IQ0804-0200
"42,8976020200196;36,8663900475059";???? ???? ????;????? ????;;1438262993977.jpg;Dahuk;Sumel;c. 4-5;10;15;11;13;13;52;4. None;4. None;3. Minor;4. None;4. none;4. none;36,8663900475059,42,8976020200196;b. 50-99;unfinished;informal settlement;4.Low;42,89760202;36,86639005;IQ0803-0283
"43,2362651114038;36,910637895846";;?????;;1438086827097.jpg;Dahuk;Dahuk;c. 4-5;11;13;10;15;18;56;4. None;4. None;3. Minor;4. None;4. none;4. none;36,910637895846,43,2362651114038;b. 50-99;unfinished;informal settlement;4.Low;43,23626511;36,9106379;IQ0802-0126
"42,6453055324896;37,1474325386855";????? ??? ????;?????;;1439280327827.jpg;Dahuk;Zakho;d. 6-7;8;11;19;13;14;57;4. None;4. None;3. Minor;4. None;4. none;4. none;37,1474325386855,42,6453055324896;b. 50-99;unfinished;informal settlement;4.Low;42,64530553;37,14743254;IQ0804-0292
"43,353150515199;36,7013972875697";???? ??????? ???????;?????;;1440328328574.jpg;Ninewa;Shikhan;e. 8-9;7;15;17;13;15;60;4. None;4. None;3. Minor;4. None;4. none;4. none;36,7013972875697,43,353150515199;b. 50-99;unfinished;Collective Center;4.Low;43,35315052;36,70139729;IQ1506-0019
"42,6459847874278;37,1479745674304";???? ???? ?????;?????;;1439282897621.jpg;Dahuk;Zakho;d. 6-7;10;19;17;12;18;66;4. None;4. None;3. Minor;4. None;4. none;4. none;37,1479745674304,42,6459847874278;b. 50-99;unfinished;Collective Center;4.Low;42,64598479;37,14797457;IQ0804-0293
"42,7874123273824;36,7843505574527";;?????;;1439125448905.jpg;Dahuk;Sumel;c. 4-5;19;33;34;15;19;101;4. None;4. None;3. Minor;4. None;4. none;4. none;36,7843505574527,42,7874123273824;c. 100-249;unfinished;informal settlement;4.Low;42,78741233;36,78435056;IQ0803-0432
"42,8133429371831;36,8555083297606";?? ?????;??????;;1439106260403.jpg;Dahuk;Sumel;c. 4-5;7;9;10;9;10;38;4. None;4. None;3. Minor;4. None;4. none;4. none;36,8555083297606,42,8133429371831;a. 0-49;unfinished finished;informal settlement;4.Low;42,81334294;36,85550833;IQ0803-0393
"43,2690133382821;37,1210375156934";;??????;;1439370750507.jpg;Dahuk;Amedi;c. 4-5;13;12;18;13;11;54;4. None;4. None;3. Minor;4. None;4. none;4. none;37,1210375156934,43,2690133382821;b. 50-99;unfinished finished;informal settlement;4.Low;43,26901334;37,12103752;IQ0801-0050
"42,665669;37,1582179999999";;?????;;1439284982279.jpg;Dahuk;Zakho;e. 8-9;57;95;112;97;150;454;4. None;4. None;3. Minor;4. None;4. none;4. none;37,1582179999999,42,665669;d. 250-499;unfinished finished;informal settlement;4.Low;42,665669;37,158218;IQ0804-0043
"44,1793891675137;36,6518075674939";;??????;;1440405595881.jpg;Ninewa;Akre;b. 2-3;5;5;5;2;3;15;3. Minor;4. None;3. Minor;4. None;4. none;4. none;36,6518075674939,44,1793891675137;a. 0-49;finished;informal settlement;4.Low;44,17938917;36,65180757;IQ1501-0033
"42,8030329712101;36,8223779031701";;???? ??? ?????;;1439468595070.jpg;Dahuk;Sumel;d. 6-7;20;33;37;25;29;124;3. Minor;4. None;3. Minor;4. None;4. none;4. none;36,8223779031701,42,8030329712101;c. 100-249;tent;informal settlement;4.Low;42,80303297;36,8223779;IQ0803-0570
"45,372824;34,360294";;?????? / ???? ???? / ??? ???? ???? ????;;1440831034385.jpg;Diyala;Khanaqin;b. 2-3;5;1;2;5;3;11;2. Moderate;4. None;3. Minor;4. None;4. none;4. none;34,360294,45,372824;a. 0-49;finished;informal settlement;3.Moderate;45,372824;34,360294;IQ1004-0044
"42,789176692859;36,7855110656093";;?????;;1439121887928.jpg;Dahuk;Sumel;c. 4-5;5;5;5;6;4;20;2. Moderate;4. None;3. Minor;4. None;4. none;4. none;36,7855110656093,42,789176692859;a. 0-49;tent unfinished;informal settlement;3.Moderate;42,78917669;36,78551107;IQ0803-0426
"43,037032044779;36,8072684804442";;????;;1438590950190.jpg;Dahuk;Sumel;c. 4-5;5;9;6;3;2;20;2. Moderate;4. None;3. Minor;4. None;4. none;4. none;36,8072684804442,43,037032044779;a. 0-49;unfinished;informal settlement;3.Moderate;43,03703204;36,80726848;IQ0803-0316
"42,680107;37,175468";;??????;;1439469544237.jpg;Dahuk;Zakho;c. 4-5;5;5;7;8;6;26;2. Moderate;4. None;3. Minor;4. None;4. none;4. none;37,175468,42,680107;a. 0-49;unfinished;informal settlement;3.Moderate;42,680107;37,175468;IQ0804-0119
"43,0749783991978;36,8440657082902";???? / ???? ????????;????? ;;1438004018530.jpg;Dahuk;Dahuk;d. 6-7;5;7;8;5;11;31;2. Moderate;4. None;3. Minor;4. None;4. none;4. none;36,8440657082902,43,0749783991978;a. 0-49;unfinished;informal settlement;3.Moderate;43,0749784;36,84406571;IQ0802-0115
"43,0771170283682;36,8480209829881";????? ??? ????;?????;;1438068640415.jpg;Dahuk;Dahuk;c. 4-5;8;9;7;10;12;38;2. Moderate;4. None;3. Minor;4. None;4. none;4. none;36,8480209829881,43,0771170283682;a. 0-49;unfinished;informal settlement;3.Moderate;43,07711703;36,84802098;IQ0802-0118
"42,6338765710152;37,1422100663201";???? ?????;?????;;1439287420441.jpg;Dahuk;Zakho;d. 6-7;7;8;9;12;11;40;2. Moderate;4. None;3. Minor;4. None;4. none;4. none;37,1422100663201,42,6338765710152;a. 0-49;unfinished;informal settlement;3.Moderate;42,63387657;37,14221007;IQ0804-0296
"44,0243638061995;36,7250106600407";???? ??? ????;????? ????;;1440406754497.jpg;Ninewa;Akre;e. 8-9;6;10;12;11;13;46;2. Moderate;4. None;3. Minor;4. None;4. none;4. none;36,7250106600407,44,0243638061995;a. 0-49;unfinished;informal settlement;3.Moderate;44,02436381;36,72501066;IQ1501-0032
"42,7334639999999;37,1421649999999";;?????? ?????;;1439890496254.jpg;Dahuk;Zakho;d. 6-7;8;11;12;13;12;48;2. Moderate;4. None;3. Minor;4. None;4. none;4. none;37,1421649999999,42,7334639999999;a. 0-49;unfinished;informal settlement;3.Moderate;42,733464;37,142165;IQ0804-0207
"45,3589649999999;34,341478";;?????? / ???? ???? / ????? ??????;;1440919279062.jpg;Diyala;Khanaqin;b. 2-3;5;2;1;7;2;12;4. None;4. None;3. Minor;4. None;4. none;4. none;34,341478,45,3589649999999;a. 0-49;skeleton;informal settlement;4.Low;45,358965;34,341478;IQ1004-0050
"44,1787819999999;36,652571";;???? ??????;;1440406839343.jpg;Ninewa;Akre;c. 4-5;5;5;7;5;7;24;4. None;4. None;3. Minor;4. None;4. none;4. none;36,652571,44,1787819999999;a. 0-49;unfinished;informal settlement;4.Low;44,178782;36,652571;IQ1501-0010
"43,0404271535969;36,809542452819";;????;;1438512876815.jpg;Dahuk;Sumel;d. 6-7;5;6;7;7;12;32;4. None;4. None;3. Minor;4. None;4. none;4. none;36,809542452819,43,0404271535969;a. 0-49;unfinished;informal settlement;3.Moderate;43,04042715;36,80954245;IQ0803-0303
"43,3546049999999;36,703999";;????? ( ??? ??????? ????????);;1440314962582.jpg;Ninewa;Shikhan;c. 4-5;6;8;6;5;8;27;4. None;4. None;3. Minor;4. None;4. none;4. none;36,703999,43,3546049999999;a. 0-49;unfinished;informal settlement;4.Low;43,354605;36,703999;IQ1506-0012
"42,6838391565059;36,95926876996";???? ????;?????;;1438762547481.jpg;Dahuk;Sumel;c. 4-5;7;9;12;7;9;37;4. None;4. None;3. Minor;4. None;4. none;4. none;36,95926876996,42,6838391565059;a. 0-49;unfinished;informal settlement;3.Moderate;42,68383916;36,95926877;IQ0803-0346
"42,7891832244486;36,7889993915008";;?????;;1439104623914.jpg;Dahuk;Sumel;d. 6-7;7;10;14;10;15;49;4. None;4. None;3. Minor;4. None;4. none;4. none;36,7889993915008,42,7891832244486;a. 0-49;unfinished;informal settlement;4.Low;42,78918322;36,78899939;IQ0803-0391
"42,7894187113911;36,78331453128";;?????;;1439190943793.jpg;Dahuk;Sumel;f. >10;7;17;22;15;18;72;4. None;4. None;3. Minor;4. None;4. none;4. none;36,78331453128,42,7894187113911;b. 50-99;unfinished;informal settlement;4.Low;42,78941871;36,78331453;IQ0803-0487
"42,984027825875;36,8621736870431";???? ??????? ????????;???????;;1438070389543.jpg;Dahuk;Dahuk;c. 4-5;48;65;70;40;30;205;3. Minor;4. None;3. Minor;4. None;4. none;4. none;36,8621736870431,42,984027825875;c. 100-249;tent finished;Collective Center;4.Low;42,98402783;36,86217369;IQ0802-0121
"42,9312547286238;36,7792213568487";;??? ????;;1438503768792.jpg;Dahuk;Sumel;d. 6-7;8;14;16;14;10;54;3. Minor;4. None;3. Minor;4. None;4. none;4. none;36,7792213568487,42,9312547286238;b. 50-99;tent unfinished;informal settlement;4.Low;42,93125473;36,77922136;IQ0803-0300
"42,7884521798095;36,7776200658898";???? ??? ????;?????;;1439209723306.jpg;Dahuk;Sumel;c. 4-5;7;9;12;6;7;34;3. Minor;4. None;3. Minor;4. None;4. none;4. none;36,7776200658898,42,7884521798095;a. 0-49;unfinished;informal settlement;3.Moderate;42,78845218;36,77762007;IQ0803-0491
"43,2800581262977;37,0384896306971";???? ???? ????;???? ?????;;1439970261677.jpg;Dahuk;Amedi;d. 6-7;5;9;13;7;6;35;3. Minor;4. None;3. Minor;4. None;4. none;4. none;37,0384896306971,43,2800581262977;a. 0-49;unfinished;informal settlement;4.Low;43,28005813;37,03848963;IQ0801-0053
"42,676397;36,9607389999999";;?????;;1438682378331.jpg;Dahuk;Sumel;e. 8-9;5;8;7;10;13;38;3. Minor;4. None;3. Minor;4. None;4. none;4. none;36,9607389999999,42,676397;a. 0-49;unfinished;informal settlement;3.Moderate;42,676397;36,960739;IQ0803-0128
"42,7885613721043;36,7825898987132";???? ??? ??? ???;?????;;1439193981404.jpg;Dahuk;Sumel;e. 8-9;5;10;15;7;8;40;3. Minor;4. None;3. Minor;4. None;4. none;4. none;36,7825898987132,42,7885613721043;a. 0-49;unfinished;informal settlement;4.Low;42,78856137;36,7825899;IQ0803-0444
"42,7879828434365;36,7853875932583";;?????;;1439121086292.jpg;Dahuk;Sumel;d. 6-7;6;10;13;11;9;43;3. Minor;4. None;3. Minor;4. None;4. none;4. none;36,7853875932583,42,7879828434365;a. 0-49;unfinished;informal settlement;4.Low;42,78798284;36,78538759;IQ0803-0418
"42,7888152550067;36,7858118833128";;?????;;1439111211732.jpg;Dahuk;Sumel;f. >10;5;10;12;15;17;54;3. Minor;4. None;3. Minor;4. None;4. none;4. none;36,7858118833128,42,7888152550067;b. 50-99;unfinished;informal settlement;4.Low;42,78881526;36,78581188;IQ0803-0413
"43,3411188310399;37,0440261622438";????? ???????;?????;;1440057799006.jpg;Dahuk;Amedi;d. 6-7;10;13;16;13;14;56;3. Minor;4. None;3. Minor;4. None;4. none;4. none;37,0440261622438,43,3411188310399;b. 50-99;unfinished;Collective Center;3.Moderate;43,34111883;37,04402616;IQ0801-0058
"42,8064891606334;36,821136368802";???? ??? ????;???? ??? ?????;;1439467893500.jpg;Dahuk;Sumel;d. 6-7;11;20;24;10;14;68;3. Minor;4. None;3. Minor;4. None;4. none;4. none;36,821136368802,42,8064891606334;b. 50-99;unfinished;informal settlement;4.Low;42,80648916;36,82113637;IQ0803-0568
"42,7863501249945;36,783031830799";;?????;;1439190129076.jpg;Dahuk;Sumel;d. 6-7;14;21;26;24;28;99;3. Minor;4. None;3. Minor;4. None;4. none;4. none;36,783031830799,42,7863501249945;b. 50-99;unfinished finished;Collective Center;3.Moderate;42,78635012;36,78303183;IQ0803-0433
"42,7819843273341;36,7755203943207";???? ???? ???;????? ( ??????) ;;1439275531683.jpg;Dahuk;Sumel;d. 6-7;16;25;31;27;29;112;3. Minor;4. None;3. Minor;4. None;4. none;4. none;36,7755203943207,42,7819843273341;c. 100-249;unfinished finished;informal settlement;3.Moderate;42,78198433;36,77552039;IQ0803-0499
"42,7907408096262;36,7863925882918";???? ??? ????;?????;;1439109649458.jpg;Dahuk;Sumel;f. >10;8;18;24;17;21;80;2. Moderate;4. None;3. Minor;4. None;4. none;4. none;36,7863925882918,42,7907408096262;b. 50-99;unfinished;Collective Center;3.Moderate;42,79074081;36,78639259;IQ0803-0407
"42,7911284819797;36,790863257063";???? ???? ???????;?????;;1438847664295.jpg;Dahuk;Sumel;d. 6-7;15;27;29;25;27;108;2. Moderate;4. None;3. Minor;4. None;4. none;4. none;36,790863257063,42,7911284819797;c. 100-249;unfinished;informal settlement;3.Moderate;42,79112848;36,79086326;IQ0803-0375
"42,7904006495606;36,7872312578792";;?????;;1439107875199.jpg;Dahuk;Sumel;f. >10;8;18;20;25;23;86;2. Moderate;4. None;3. Minor;4. None;4. none;4. none;36,7872312578792,42,7904006495606;b. 50-99;unfinished finished;informal settlement;3.Moderate;42,79040065;36,78723126;IQ0803-0403
"42,7800473845746;36,7829170190336";;?????;;1439452578398.jpg;Dahuk;Sumel;c. 4-5;7;8;13;6;7;34;4. None;4. None;3. Minor;4. None;4. none;4. none;36,7829170190336,42,7800473845746;a. 0-49;unfinished;informal settlement;3.Moderate;42,78004738;36,78291702;IQ0803-0560
"42,9306163738165;36,779943992307";;??? ????;;1438499580044.jpg;Dahuk;Sumel;d. 6-7;6;10;8;10;11;39;1. Major;4. None;3. Minor;4. None;4. none;4. none;36,779943992307,42,9306163738165;a. 0-49;unfinished;informal settlement;3.Moderate;42,93061637;36,77994399;IQ0803-0293
"42,9668174889887;36,7846672503132";;?????;;1439106878499.jpg;Dahuk;Sumel;c. 4-5;7;8;9;6;3;26;4. None;3. Minor;3. Minor;4. None;4. none;4. none;36,7846672503132,42,9668174889887;a. 0-49;tent unfinished;informal settlement;3.Moderate;42,96681749;36,78466725;IQ0803-0401
"43,0019424186188;36,8093410948079";;????? ????;;1439299237271.jpg;Dahuk;Sumel;d. 6-7;6;10;10;12;7;39;4. None;3. Minor;3. Minor;4. None;4. none;4. none;36,8093410948079,43,0019424186188;a. 0-49;tent unfinished;informal settlement;3.Moderate;43,00194242;36,80934109;IQ0803-0537
"42,6721459886368;37,1552178694291";???? ????;?????;;1439812587988.jpg;Dahuk;Zakho;c. 4-5;5;6;6;5;9;26;4. None;3. Minor;3. Minor;4. None;4. none;4. none;37,1552178694291,42,6721459886368;a. 0-49;unfinished;informal settlement;3.Moderate;42,67214599;37,15521787;IQ0804-0309
"42,9857799087324;36,7695554022844";;?????;;1438862961772.jpg;Dahuk;Sumel;c. 4-5;6;6;9;8;9;32;4. None;3. Minor;3. Minor;4. None;4. none;4. none;36,7695554022844,42,9857799087324;a. 0-49;unfinished;informal settlement;3.Moderate;42,98577991;36,7695554;IQ0803-0386
"42,9118693885757;36,8907705927581";????;?????;;1438069976069.jpg;Dahuk;Sumel;c. 4-5;15;20;18;19;17;74;4. None;3. Minor;3. Minor;4. None;4. none;4. none;36,8907705927581,42,9118693885757;b. 50-99;unfinished;informal settlement;4.Low;42,91186939;36,89077059;IQ0803-0271
"43,0135969999999;36,8484679999999";;?????;;1438063960285.jpg;Dahuk;Dahuk;f. >10;7;15;20;25;15;75;4. None;3. Minor;3. Minor;4. None;4. none;4. none;36,8484679999999,43,0135969999999;b. 50-99;unfinished;informal settlement;3.Moderate;43,013597;36,848468;IQ0802-0097
"42,7289011133513;37,1442032173065";???? ??????? ??? ????;?????? ?????;;1439973909087.jpg;Dahuk;Zakho;c. 4-5;5;4;5;4;6;19;3. Minor;3. Minor;3. Minor;4. None;4. none;4. none;37,1442032173065,42,7289011133513;a. 0-49;unfinished;informal settlement;3.Moderate;42,72890111;37,14420322;IQ0804-0316
"42,7281585840269;37,1442080163075";???? ???? ;?????? ?????;;1439974891016.jpg;Dahuk;Zakho;c. 4-5;11;10;13;20;11;54;3. Minor;3. Minor;3. Minor;4. None;4. none;4. none;37,1442080163075,42,7281585840269;b. 50-99;unfinished;informal settlement;3.Moderate;42,72815858;37,14420802;IQ0804-0320
"42,9850644996224;36,7692791323466";;?????;;1438862038452.jpg;Dahuk;Sumel;c. 4-5;13;18;15;15;14;62;2. Moderate;3. Minor;3. Minor;4. None;4. none;4. none;36,7692791323466,42,9850644996224;b. 50-99;improved;informal settlement;3.Moderate;42,9850645;36,76927913;IQ0803-0384
"43,0000635020034;36,8106267621878";;????? ????;;1439292391512.jpg;Dahuk;Sumel;c. 4-5;5;7;6;8;6;27;2. Moderate;3. Minor;3. Minor;4. None;4. none;4. none;36,8106267621878,43,0000635020034;a. 0-49;tent unfinished;informal settlement;3.Moderate;43,0000635;36,81062676;IQ0803-0517
"42,999139486266;36,810824132123";;????? ????;;1439297470129.jpg;Dahuk;Sumel;c. 4-5;7;8;10;4;6;28;2. Moderate;3. Minor;3. Minor;4. None;4. none;4. none;36,810824132123,42,999139486266;a. 0-49;tent unfinished;informal settlement;3.Moderate;42,99913949;36,81082413;IQ0803-0533
"42,9691408822872;36,7912528325458";???? ??? ????;?????;;1439196458001.jpg;Dahuk;Sumel;d. 6-7;5;7;8;6;9;30;2. Moderate;3. Minor;3. Minor;4. None;4. none;4. none;36,7912528325458,42,9691408822872;a. 0-49;unfinished;informal settlement;3.Moderate;42,96914088;36,79125283;IQ0803-0472
"42,8188257768934;36,8391530061749";???? ???? ????;???? ?????;;1439115398747.jpg;Dahuk;Sumel;d. 6-7;7;7;13;14;9;43;2. Moderate;3. Minor;3. Minor;4. None;4. none;4. none;36,8391530061749,42,8188257768934;a. 0-49;unfinished;informal settlement;3.Moderate;42,81882578;36,83915301;IQ0803-0420
"42,8182613011871;36,8410224470828";???? ???? ????;???? ?????;;1439112738406.jpg;Dahuk;Sumel;d. 6-7;13;25;30;20;18;93;2. Moderate;3. Minor;3. Minor;4. None;4. none;4. none;36,8410224470828,42,8182613011871;b. 50-99;unfinished;informal settlement;3.Moderate;42,8182613;36,84102245;IQ0803-0405
"43,3671642087241;37,1018159606199";;??????;;1440070922806.jpg;Dahuk;Amedi;e. 8-9;18;30;28;65;45;168;4. None;3. Minor;3. Minor;4. None;4. none;4. none;37,1018159606199,43,3671642087241;c. 100-249;finished;Collective Center;3.Moderate;43,36716421;37,10181596;IQ0801-0061
"42,9800737131816;36,7698278449861";;????? ;;1438850571824.jpg;Dahuk;Sumel;d. 6-7;8;10;11;10;15;46;4. None;3. Minor;3. Minor;4. None;4. none;4. none;36,7698278449861,42,9800737131816;a. 0-49;improved unfinished;informal settlement;3.Moderate;42,98007371;36,76982784;IQ0803-0378
"43,0334685605741;36,8071722460228";????? ??? ???? ???;????;;1438259290388.jpg;Dahuk;Sumel;d. 6-7;9;9;11;20;17;57;4. None;3. Minor;3. Minor;4. None;4. none;4. none;36,8071722460228,43,0334685605741;b. 50-99;improved unfinished;informal settlement;3.Moderate;43,03346856;36,80717225;IQ0803-0275
"43,3657544081407;37,1024969433962";;??????;;1440072096899.jpg;Dahuk;Amedi;e. 8-9;16;22;40;23;40;125;4. None;3. Minor;3. Minor;4. None;4. none;4. none;37,1024969433962,43,3657544081407;c. 100-249;tent finished;Collective Center;2.High;43,36575441;37,10249694;IQ0801-0064
"42,9674534807164;36,7853443601552";;?????;;1439106262356.jpg;Dahuk;Sumel;c. 4-5;5;7;4;6;6;23;4. None;3. Minor;3. Minor;4. None;4. none;4. none;36,7853443601552,42,9674534807164;a. 0-49;unfinished;informal settlement;2.High;42,96745348;36,78534436;IQ0803-0397
"42,9679941142327;36,7858343230312";;?????;;1439103959423.jpg;Dahuk;Sumel;c. 4-5;6;12;12;5;2;31;4. None;3. Minor;3. Minor;4. None;4. none;4. none;36,7858343230312,42,9679941142327;a. 0-49;unfinished;informal settlement;3.Moderate;42,96799411;36,78583432;IQ0803-0389
"42,9791779562448;36,7826991517677";;?????;;1439192130706.jpg;Dahuk;Sumel;d. 6-7;6;6;13;9;9;37;4. None;3. Minor;3. Minor;4. None;4. none;4. none;36,7826991517677,42,9791779562448;a. 0-49;unfinished;informal settlement;3.Moderate;42,97917796;36,78269915;IQ0803-0438
"42,9794561057905;36,7831221061427";;?????;;1439190450933.jpg;Dahuk;Sumel;d. 6-7;6;14;8;9;8;39;4. None;3. Minor;3. Minor;4. None;4. none;4. none;36,7831221061427,42,9794561057905;a. 0-49;unfinished;informal settlement;3.Moderate;42,97945611;36,78312211;IQ0803-0435
"43,0420450738767;36,8092972626909";;????;;1438516358219.jpg;Dahuk;Sumel;d. 6-7;7;10;10;15;10;45;4. None;3. Minor;3. Minor;4. None;4. none;4. none;36,8092972626909,43,0420450738767;a. 0-49;unfinished;informal settlement;3.Moderate;43,04204507;36,80929726;IQ0803-0308
"42,9800017995507;36,7830717246545";;?????;;1439190925830.jpg;Dahuk;Sumel;f. >10;5;13;8;14;17;52;4. None;3. Minor;3. Minor;4. None;4. none;4. none;36,7830717246545,42,9800017995507;b. 50-99;unfinished;informal settlement;3.Moderate;42,9800018;36,78307172;IQ0803-0436
"42,9825198053883;36,7898916396685";;?????;;1439275846054.jpg;Dahuk;Sumel;e. 8-9;8;16;15;20;19;70;4. None;3. Minor;3. Minor;4. None;3. Minor;4. none;36,7898916396685,42,9825198053883;b. 50-99;unfinished;informal settlement;3.Moderate;42,98251981;36,78989164;IQ0803-0498
"42,6729369999999;37,1649249999999";;;;1439713622572.jpg;Dahuk;Zakho;e. 8-9;9;10;12;25;30;77;4. None;3. Minor;3. Minor;4. None;4. none;4. none;37,1649249999999,42,6729369999999;b. 50-99;unfinished;informal settlement;3.Moderate;42,672937;37,164925;IQ0804-0100
"42,9755100571954;36,7821335054317";;?????;;1439123063868.jpg;Dahuk;Sumel;e. 8-9;12;20;25;30;20;95;4. None;3. Minor;3. Minor;4. None;4. none;4. none;36,7821335054317,42,9755100571954;b. 50-99;unfinished;informal settlement;3.Moderate;42,97551006;36,78213351;IQ0803-0427
"42,9675786073943;36,7838548056397";;?????;;1439109004713.jpg;Dahuk;Sumel;c. 4-5;10;9;10;11;19;49;4. None;2. Moderate;3. Minor;4. None;4. none;4. none;36,7838548056397,42,9675786073943;a. 0-49;tent unfinished;informal settlement;3.Moderate;42,96757861;36,78385481;IQ0803-0409
"43,000269;36,871115";;??? ????;;1437987168453.jpg;Dahuk;Dahuk;d. 6-7;10;18;13;15;10;56;4. None;2. Moderate;3. Minor;4. None;4. none;4. none;36,871115,43,000269;b. 50-99;unfinished;informal settlement;4.Low;43,000269;36,871115;IQ0802-0098
"42,7830833523142;36,786733620457";;?????;;1439386770480.jpg;Dahuk;Sumel;e. 8-9;5;5;7;16;10;38;3. Minor;2. Moderate;3. Minor;4. None;4. none;4. none;36,786733620457,42,7830833523142;a. 0-49;tent unfinished;informal settlement;3.Moderate;42,78308335;36,78673362;IQ0803-0553
"42,7879111150692;36,7847458358678";;?????;;1439123082572.jpg;Dahuk;Sumel;d. 6-7;8;15;14;10;13;52;3. Minor;2. Moderate;3. Minor;4. None;4. none;4. none;36,7847458358678,42,7879111150692;b. 50-99;unfinished;informal settlement;3.Moderate;42,78791112;36,78474584;IQ0803-0423
"42,9798492995671;36,7915301536381";???? ???? ?? ????? ?????;?????;;1439210818385.jpg;Dahuk;Sumel;d. 6-7;6;7;6;9;13;35;4. None;2. Moderate;3. Minor;4. None;4. none;4. none;36,7915301536381,42,9798492995671;a. 0-49;tent;Collective Center;3.Moderate;42,9798493;36,79153015;IQ0803-0465
"42,7885612388724;36,7769822787776";???? ???? ????;?????;;1439208890441.jpg;Dahuk;Sumel;d. 6-7;6;9;11;7;9;36;4. None;2. Moderate;3. Minor;4. None;4. none;4. none;36,7769822787776,42,7885612388724;a. 0-49;unfinished;informal settlement;3.Moderate;42,78856124;36,77698228;IQ0803-0474
"45,1638454927;32,7689806114";?????? ?????;???? ?????;reach_initiative;1424429933804.jpg;Wassit;Al-Suwaira;b. 2-3;5;5;5;2;3;15;4. None;4. None;3. Minor;4. None;4. none;4. none;32,7689806114,45,1638454927;a. 0-49;finished;informal settlement;4.Low;45,16384549;32,76898061;
"44,3257633132;32,1280127196";???? ???? ???????;????? ???????;reach_initiative;1425896795766.jpg;Najaf;Najaf;b. 2-3;5;4;5;5;3;17;4. None;4. None;3. Minor;4. None;4. none;4. none;32,1280127196,44,3257633132;a. 0-49;finished;informal settlement;3.Moderate;44,32576331;32,12801272;
"45,6562123155;32,5665763949";???? ?????? ??????;???? ??????;reach_initiative;1424503134575.jpg;Wassit;Kut;c. 4-5;5;5;5;5;3;18;4. None;4. None;3. Minor;4. None;4. none;4. none;32,5665763949,45,6562123155;a. 0-49;finished;informal settlement;4.Low;45,65621232;32,56657639;
"45,6490315344;32,5681992126";???? ??? ???????;???? ??????;reach_initiative;1424503661697.jpg;Wassit;Kut;c. 4-5;5;5;7;4;3;19;4. None;4. None;3. Minor;4. None;4. none;4. none;32,5681992126,45,6490315344;a. 0-49;finished;informal settlement;4.Low;45,64903153;32,56819921;
"44,4956410209;31,8577952617";???? ????? ??????;????? ????????;reach_initiative;1426489748328.jpg;Najaf;Al-Manathera;c. 4-5;5;5;5;4;6;20;4. None;4. None;3. Minor;4. None;4. none;4. none;31,8577952617,44,4956410209;a. 0-49;finished;informal settlement;3.Moderate;44,49564102;31,85779526;
"46,266725021;32,5783404487";???? ??????? ???? ???????;????? ???? ??? ??? ???;reach_initiative;1424783058572.jpg;Wassit;Kut;c. 4-5;5;5;6;6;4;21;4. None;4. None;3. Minor;4. None;4. none;4. none;32,5783404487,46,266725021;a. 0-49;finished;informal settlement;4.Low;46,26672502;32,57834045;
"44,9634755195;31,7315217191";???? ??????;???? ???????( ?????? );reach_initiative;1426344713895.jpg;Qadissiya;Hamza;c. 4-5;5;5;6;7;5;23;4. None;4. None;3. Minor;4. None;4. none;4. none;31,7315217191,44,9634755195;a. 0-49;finished;informal settlement;4.Low;44,96347552;31,73152172;
"44,3099847342;32,1857201681";???? ???? ??????;????? ???????;reach_initiative;1425978292736.jpg;Najaf;Najaf;c. 4-5;6;6;5;7;7;25;4. None;4. None;3. Minor;4. None;4. none;4. none;32,1857201681,44,3099847342;a. 0-49;finished;informal settlement;3.Moderate;44,30998473;32,18572017;
"45,7591134512;32,5340398364";???? ????? ??????;???? ?? ????;reach_initiative;1424498397892.jpg;Wassit;Kut;c. 4-5;5;7;8;5;6;26;4. None;4. None;3. Minor;4. None;4. none;4. none;32,5340398364,45,7591134512;a. 0-49;finished;informal settlement;4.Low;45,75911345;32,53403984;
"45,9118693674;32,4799540829";?????? ????? ??????;???? ????????;reach_initiative;1424775108721.jpg;Wassit;Kut;c. 4-5;5;5;4;8;9;26;4. None;4. None;3. Minor;4. None;4. none;4. none;32,4799540829,45,9118693674;a. 0-49;finished;informal settlement;4.Low;45,91186937;32,47995408;
"44,325565746;32,1269819995";???? ????? ??????;????? ???????;reach_initiative;1425894886263.jpg;Najaf;Najaf;c. 4-5;7;6;9;9;9;33;4. None;4. None;3. Minor;4. None;4. none;4. none;32,1269819995,44,325565746;a. 0-49;finished;informal settlement;4.Low;44,32556575;32,126982;
